DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2021,587912376,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2022,1211269871,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2023,1376610852,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2024,1452092245,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2012,180594988,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2013,184793382,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2014,186792507,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2015,192625026,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2016,199421814,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2017,210658786,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2018,216510546,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2019,220662684,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2020,65443607,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2021,106123175,,
